site_id,lon,lat,vs30,z1p0,z2p5,vs30_source
0,-118.5,34.28,351.9,0.35,3.75,0.0
1,-118.5,34.28,351.9,0.35,3.75,0.0
2,-118.5,34.28,351.9,0.35,3.75,0.0
3,-118.5,34.28,351.9,0.35,3.75,0.0
4,-118.5,34.28,351.9,0.35,3.75,0.0
5,-118.5,34.28,351.9,0.35,3.75,0.0
6,-118.5,34.28,351.9,0.35,3.75,0.0
7,-118.5,34.28,351.9,0.35,3.75,0.0
8,-118.5,34.28,351.9,0.35,3.75,0.0
9,-118.5,34.28,351.9,0.35,3.75,0.0
10,-118.5,34.28,351.9,0.35,3.75,0.0
11,-118.5,34.28,351.9,0.35,3.75,0.0
12,-118.5,34.28,351.9,0.35,3.75,0.0
13,-118.5,34.28,351.9,0.35,3.75,0.0
14,-118.5,34.28,351.9,0.35,3.75,0.0
15,-118.5,34.28,351.9,0.35,3.75,0.0
16,-118.5,34.28,351.9,0.35,3.75,0.0
17,-118.5,34.28,351.9,0.35,3.75,0.0
18,-118.5,34.28,351.9,0.35,3.75,0.0
19,-118.5,34.28,351.9,0.35,3.75,0.0
20,-118.5,34.28,351.9,0.35,3.75,0.0
21,-118.5,34.28,351.9,0.35,3.75,0.0
22,-118.5,34.28,351.9,0.35,3.75,0.0
23,-118.5,34.28,351.9,0.35,3.75,0.0
24,-118.5,34.28,351.9,0.35,3.75,0.0
25,-118.5,34.28,351.9,0.35,3.75,0.0
26,-118.5,34.28,351.9,0.35,3.75,0.0
27,-118.5,34.28,351.9,0.35,3.75,0.0
28,-118.5,34.28,351.9,0.35,3.75,0.0
29,-118.5,34.28,351.9,0.35,3.75,0.0
30,-118.5,34.28,351.9,0.35,3.75,0.0
31,-118.5,34.28,351.9,0.35,3.75,0.0
32,-118.5,34.28,351.9,0.35,3.75,0.0
33,-118.5,34.28,351.9,0.35,3.75,0.0
34,-118.5,34.28,351.9,0.35,3.75,0.0
35,-118.5,34.28,351.9,0.35,3.75,0.0
36,-118.5,34.28,351.9,0.35,3.75,0.0
37,-118.5,34.28,351.9,0.35,3.75,0.0
38,-118.5,34.28,351.9,0.35,3.75,0.0
39,-118.5,34.28,351.9,0.35,3.75,0.0
40,-118.5,34.28,351.9,0.35,3.75,0.0
41,-118.5,34.28,351.9,0.35,3.75,0.0
42,-118.5,34.28,351.9,0.35,3.75,0.0
43,-118.5,34.28,351.9,0.35,3.75,0.0
44,-118.5,34.28,351.9,0.35,3.75,0.0
45,-118.5,34.28,351.9,0.35,3.75,0.0
46,-118.5,34.28,351.9,0.35,3.75,0.0
47,-118.5,34.28,351.9,0.35,3.75,0.0
48,-118.5,34.28,351.9,0.35,3.75,0.0
49,-118.5,34.28,351.9,0.35,3.75,0.0
50,-118.5,34.28,351.9,0.35,3.75,0.0
51,-118.5,34.28,351.9,0.35,3.75,0.0
52,-118.5,34.28,351.9,0.35,3.75,0.0
53,-118.5,34.28,351.9,0.35,3.75,0.0
54,-118.5,34.28,351.9,0.35,3.75,0.0
55,-118.5,34.28,351.9,0.35,3.75,0.0
56,-118.5,34.28,351.9,0.35,3.75,0.0
57,-118.5,34.28,351.9,0.35,3.75,0.0
58,-118.5,34.28,351.9,0.35,3.75,0.0
59,-118.5,34.28,351.9,0.35,3.75,0.0
60,-118.5,34.28,351.9,0.35,3.75,0.0
61,-118.5,34.28,351.9,0.35,3.75,0.0
62,-118.5,34.28,351.9,0.35,3.75,0.0
63,-118.5,34.28,351.9,0.35,3.75,0.0
64,-118.5,34.28,351.9,0.35,3.75,0.0
65,-118.5,34.28,351.9,0.35,3.75,0.0
66,-118.5,34.28,351.9,0.35,3.75,0.0
67,-118.5,34.28,351.9,0.35,3.75,0.0
68,-118.5,34.28,351.9,0.35,3.75,0.0
69,-118.5,34.28,351.9,0.35,3.75,0.0
70,-118.5,34.28,351.9,0.35,3.75,0.0
71,-118.5,34.28,351.9,0.35,3.75,0.0
72,-118.5,34.28,351.9,0.35,3.75,0.0
73,-118.5,34.28,351.9,0.35,3.75,0.0
74,-118.5,34.28,351.9,0.35,3.75,0.0
75,-118.5,34.28,351.9,0.35,3.75,0.0
76,-118.5,34.28,351.9,0.35,3.75,0.0
77,-118.5,34.28,351.9,0.35,3.75,0.0
78,-118.5,34.28,351.9,0.35,3.75,0.0
79,-118.5,34.28,351.9,0.35,3.75,0.0
80,-118.5,34.28,351.9,0.35,3.75,0.0
81,-118.5,34.28,351.9,0.35,3.75,0.0
82,-118.5,34.28,351.9,0.35,3.75,0.0
83,-118.5,34.28,351.9,0.35,3.75,0.0
84,-118.5,34.28,351.9,0.35,3.75,0.0
85,-118.5,34.28,351.9,0.35,3.75,0.0
86,-118.5,34.28,351.9,0.35,3.75,0.0
87,-118.5,34.28,351.9,0.35,3.75,0.0
88,-118.5,34.28,351.9,0.35,3.75,0.0
89,-118.5,34.28,351.9,0.35,3.75,0.0
90,-118.5,34.28,351.9,0.35,3.75,0.0
91,-118.5,34.28,351.9,0.35,3.75,0.0
92,-118.5,34.28,351.9,0.35,3.75,0.0
93,-118.5,34.28,351.9,0.35,3.75,0.0
94,-118.5,34.28,351.9,0.35,3.75,0.0
95,-118.5,34.28,351.9,0.35,3.75,0.0
96,-118.5,34.28,351.9,0.35,3.75,0.0
97,-118.5,34.28,351.9,0.35,3.75,0.0
98,-118.5,34.28,351.9,0.35,3.75,0.0
99,-118.5,34.28,351.9,0.35,3.75,0.0
100,-118.5,34.28,351.9,0.35,3.75,0.0
101,-118.5,34.28,351.9,0.35,3.75,0.0
102,-118.5,34.28,351.9,0.35,3.75,0.0
103,-118.5,34.28,351.9,0.35,3.75,0.0
104,-118.5,34.28,351.9,0.35,3.75,0.0
105,-118.5,34.28,351.9,0.35,3.75,0.0
106,-118.5,34.28,351.9,0.35,3.75,0.0
107,-118.5,34.28,351.9,0.35,3.75,0.0
108,-118.5,34.28,351.9,0.35,3.75,0.0
109,-118.5,34.28,351.9,0.35,3.75,0.0
110,-118.5,34.28,351.9,0.35,3.75,0.0
111,-118.5,34.28,351.9,0.35,3.75,0.0
112,-118.5,34.28,351.9,0.35,3.75,0.0
113,-118.5,34.28,351.9,0.35,3.75,0.0
114,-118.5,34.28,351.9,0.35,3.75,0.0
115,-118.5,34.28,351.9,0.35,3.75,0.0
116,-118.5,34.28,351.9,0.35,3.75,0.0
117,-118.5,34.28,351.9,0.35,3.75,0.0
118,-118.5,34.28,351.9,0.35,3.75,0.0
119,-118.5,34.28,351.9,0.35,3.75,0.0
120,-118.5,34.28,351.9,0.35,3.75,0.0
121,-118.5,34.28,351.9,0.35,3.75,0.0
122,-118.5,34.28,351.9,0.35,3.75,0.0
123,-118.5,34.28,351.9,0.35,3.75,0.0
124,-118.5,34.28,351.9,0.35,3.75,0.0
125,-118.5,34.28,351.9,0.35,3.75,0.0
126,-118.5,34.28,351.9,0.35,3.75,0.0
127,-118.5,34.28,351.9,0.35,3.75,0.0
128,-118.5,34.28,351.9,0.35,3.75,0.0
129,-118.5,34.28,351.9,0.35,3.75,0.0
130,-118.5,34.28,351.9,0.35,3.75,0.0
131,-118.5,34.28,351.9,0.35,3.75,0.0
132,-118.5,34.28,351.9,0.35,3.75,0.0
133,-118.5,34.28,351.9,0.35,3.75,0.0
134,-118.5,34.28,351.9,0.35,3.75,0.0
135,-118.5,34.28,351.9,0.35,3.75,0.0
136,-118.5,34.28,351.9,0.35,3.75,0.0
137,-118.5,34.28,351.9,0.35,3.75,0.0
138,-118.5,34.28,351.9,0.35,3.75,0.0
139,-118.5,34.28,351.9,0.35,3.75,0.0
140,-118.5,34.28,351.9,0.35,3.75,0.0
141,-118.5,34.28,351.9,0.35,3.75,0.0
142,-118.5,34.28,351.9,0.35,3.75,0.0
143,-118.5,34.28,351.9,0.35,3.75,0.0
144,-118.5,34.28,351.9,0.35,3.75,0.0
145,-118.5,34.28,351.9,0.35,3.75,0.0
146,-118.5,34.28,351.9,0.35,3.75,0.0
147,-118.5,34.28,351.9,0.35,3.75,0.0
148,-118.5,34.28,351.9,0.35,3.75,0.0
149,-118.5,34.28,351.9,0.35,3.75,0.0
150,-118.5,34.28,351.9,0.35,3.75,0.0
151,-118.5,34.28,351.9,0.35,3.75,0.0
152,-118.5,34.28,351.9,0.35,3.75,0.0
153,-118.5,34.28,351.9,0.35,3.75,0.0
154,-118.5,34.28,351.9,0.35,3.75,0.0
155,-118.5,34.28,351.9,0.35,3.75,0.0
156,-118.5,34.28,351.9,0.35,3.75,0.0
157,-118.5,34.28,351.9,0.35,3.75,0.0
158,-118.5,34.28,351.9,0.35,3.75,0.0
159,-118.5,34.28,351.9,0.35,3.75,0.0
160,-118.5,34.28,351.9,0.35,3.75,0.0
161,-118.5,34.28,351.9,0.35,3.75,0.0
